periodo,tasa_real_expost,tipmn_nom,ipc,tasa_bcrp,tipo_cambio,embig_riesgo,liquidez_m2
Ene.2011,-0.30764229393741016,1.865,71.2283105646479,3.25,2.78667142857143,145.57143,87499.1018
Feb.2011,-0.2445585885551178,1.989,71.5006315782516,3.5,2.77041,146.1,88676.63499742
Mar.2011,-0.6240255853354548,2.0394,72.0029008320805,3.75,2.77950869565217,156.78261,89281.9528687
Abr.2011,-1.2465707758634923,2.0897,72.4931779487685,4.0,2.81584210526316,192.90476,87161.4760796
May.2011,-0.7624198865444196,2.3042,72.4759927600571,4.25,2.77439047619048,187.22727,87484.55741783
Jun.2011,-0.43365322504482373,2.477,72.5478476794027,4.25,2.76382380952381,192.36364,87199.7682311
Jul.2011,-0.8744358098440794,2.4761,73.1231175318247,4.25,2.74140526315789,170.85714,91491.74334107
Ago.2011,-0.8280557623666556,2.5197,73.3174920842417,4.25,2.73951904761905,199.56522,91661.47931937
Sep.2011,-1.1730287384860842,2.5533,73.5625077424483,4.25,2.74415,237.45455,92965.47562782
Oct.2011,-1.6163863530576448,2.5842,73.794119647811,4.25,2.73113,231.95238,93248.7401535
Nov.2011,-2.071559307997609,2.5703,74.1124844688423,4.25,2.70510476190476,214.18182,94708.8220392
Dic.2011,-2.2703208424836148,2.4681,74.3132616323748,4.25,2.69617894736842,216.31818,101248.230117
Ene.2012,-1.760864346037641,2.4645,74.2379662035315,4.25,2.6925,219.40909,101880.17408031
Feb.2012,-1.6653539429784452,2.5004,74.4791719574771,4.25,2.68327142857143,199.2381,104046.20610587
Mar.2012,-1.7111874323374772,2.5203,75.0496945317084,4.25,2.67087272727273,165.59091,106808.74373155
Abr.2012,-1.6375468583682884,2.4393,75.4486137965042,4.25,2.65662222222222,164.14286,108764.42764261
May.2012,-1.686296168227158,2.4561,75.4782355070343,4.25,2.66973636363636,180.52174,110737.73754721
Jun.2012,-1.5253709498433885,2.4757,75.4505385376399,4.25,2.67096,188.42857,109480.02469178
Jul.2012,-0.7926147693236572,2.4835,75.5187147850747,4.25,2.63498571428571,162.59091,110763.6368357
Ago.2012,-1.0985807362320261,2.4274,75.9026527314205,4.25,2.61587619047619,133.13043,112657.65977909
Sep.2012,-1.2884362114594392,2.4527,76.3145813576587,4.25,2.60267,124.0,114877.90941542
Oct.2012,-0.7992302659715618,2.4474,76.1899418708041,4.25,2.58766,108.04348,118329.02508878
Nov.2012,-0.2194918879000114,2.4423,76.0852045683551,4.25,2.598605,122.95455,121659.96235384
Dic.2012,-0.2793688807158521,2.37,76.2820940603079,4.25,2.56656111111111,117.19048,126199.08974557
Ene.2013,-0.49467608956734344,2.3774,76.3701370802442,4.25,2.55217272727273,110.04348,129381.14373206
Feb.2013,-0.08246221835026502,2.3671,76.3035856142876,4.25,2.57834736842105,127.05,133398.58094958
Mar.2013,-0.3047246005648625,2.2871,76.99485097723,4.25,2.59417368421053,140.28571,132895.80379549
Abr.2013,0.0020500743711018288,2.309,77.1891755363707,4.25,2.59806818181818,132.54545,132915.12506444
May.2013,-0.16087298011904538,2.3039,77.3386026616823,4.25,2.64571818181818,133.73913,132915.23133818
Jun.2013,-0.4520354385084979,2.3187,77.5410733474478,4.25,2.74848421052632,179.8,132479.56750916
Jul.2013,-0.9140235309897533,2.3271,77.9663696202748,4.25,2.77688571428571,175.69565,134493.78616935
Ago.2013,-0.9607656383068499,2.3158,78.3896529693816,4.25,2.80198571428571,190.54545,133073.96539439
Sep.2013,-0.4841406237713026,2.3467,78.4749255285923,4.25,2.77866190476191,183.38095,131517.1955229
Oct.2013,-0.6952821880727886,2.3432,78.5049596836515,4.25,2.76906666666667,172.86957,132660.78009618
Nov.2013,-0.6224386631352372,2.3327,78.3336278654801,4.0,2.79875,183.42857,132996.41786576
Dic.2013,-0.5899811557921821,2.2697,78.4635187293942,4.0,2.78564,176.54545,135555.39628432
Ene.2014,-0.811431360928951,2.2552,78.7121276543314,4.0,2.80927727272727,176.0,132063.50181163
Feb.2014,-1.5127296946406568,2.2636,79.1850605759155,4.0,2.81255,182.25,132372.99562273
Mar.2014,-1.1047281716494801,2.2732,79.5956817391094,4.0,2.80657142857143,167.2381,132344.85052643
Abr.2014,-1.22745457481136,2.2957,79.9086695055395,4.0,2.79444,153.54545,132350.85564164
May.2014,-1.2137444264356114,2.3419,80.0884883767056,4.0,2.78695238095238,149.40909,133882.60557386
Jun.2014,-1.0466528977790097,2.403,80.215971231147,4.0,2.79452380952381,145.42857,135600.82169087
Jul.2014,-0.9482638268163082,2.3829,80.5635571221473,3.75,2.78639523809524,146.34783,138143.5262341
Ago.2014,-0.3533088893413838,2.3319,80.4945788992393,3.75,2.81476666666667,157.28571,138793.92201963
Sep.2014,-0.41426215785075726,2.324,80.6237747177433,3.5,2.86469545454545,149.68182,136631.4035412
