,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
tasa_real_expost,180.0,-1.0220831064832163,1.857772875171337,-6.730332943888964,-1.5289169331294854,-0.619969512135875,0.25596794581109505,1.922963970646261,-1.430603470961389,1.5445060442403884
tasa_bcrp,180.0,3.8541666666666665,1.7822987087328652,0.25,2.75,4.125,4.25,7.75,-0.011228872811403473,0.4560257797364873
tipo_cambio,180.0,3.310473112078983,0.41463087272878224,2.55217272727273,2.89620568181818,3.3347249999999997,3.697079545454545,4.10805454545454,-0.22084277942970856,-1.0253838517434013
embig_riesgo,180.0,168.40890654110012,33.683658082045945,108.04348,145.38095130952377,164.32143000000002,184.25649750000002,282.38095,0.7831883936769761,0.6595540415496228
liquidez_m2,180.0,210321.44539661097,82633.09448678495,87161.4760796,137748.2955180675,189757.801012195,290943.758647175,383367.07528122,0.24683248801164642,-1.3671961742739396
