,tasa_real_expost,tasa_bcrp,tipo_cambio,embig_riesgo,liquidez_m2
tasa_real_expost,1.0,-0.231968670080888,-0.32774373932503825,-0.5270487501923808,-0.1341417736067676
tasa_bcrp,-0.231968670080888,1.0,0.06692735278642009,0.1970798133331055,0.0846917165699891
tipo_cambio,-0.32774373932503825,0.06692735278642009,1.0,0.14822218084588645,0.8683718887458554
embig_riesgo,-0.5270487501923808,0.1970798133331055,0.14822218084588645,1.0,-0.09440078976505718
liquidez_m2,-0.1341417736067676,0.0846917165699891,0.8683718887458554,-0.09440078976505718,1.0
